feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,feature 17,feature 18,feature 19,feature 20,feature 21,feature 22,feature 23,feature 24,feature 25,feature 26,feature 27,feature 28,feature 29,feature 30,feature 31,feature 32,feature 33,feature 34,feature 35,feature 36,feature 37,feature 38,feature 39,feature 40,feature 41,feature 42,feature 43,feature 44,feature 45,feature 46,feature 47,feature 48,y
2182.0,8081.51986885905,7818.9869758520335,7493.835206280108,7136.180435874208,7064.151944188787,7014.852985239259,6857.2442204745275,6736.553442189596,6567.836176821205,6411.085269231869,6363.348290308645,6402.6271653709555,6435.325051711938,6360.951544710786,6415.9508191720415,6514.08448146081,6670.846496860172,0.0,12704.58984375,11692.529296875,10960.400390625,10529.736328125,10465.13671875,10271.337890625,10077.5390625,10077.5390625,10056.005859375,9862.20703125,9754.541015625,9431.54296875,9431.54296875,9625.341796875,9926.806640625,10099.072265625,10852.734375,0.0,-319.2038878330443,2.2308220982748446,-54.74990989034777,40.83321455029712,-35.646395916919666,4.487592797076391,-10.72258908582974,-7.370422078707975,2.206597901397981,-3.519298101842376,3.762890335579157,-4.223091953057297,hihat
3023.0,8137.9789045356465,8621.103706501533,9273.438664431598,9260.802355688844,9304.890428995353,9203.829693863081,9075.394636947061,8868.31768932561,8744.004920451429,8415.462168147087,8169.996313661179,7800.85739444391,7704.746101794865,7395.532738984884,7059.189147946294,6733.2236934057755,6502.467982966781,6813.201178656271,12467.724609375,13049.12109375,13953.515625,13996.58203125,13802.783203125,13565.91796875,13415.185546875,13049.12109375,13049.12109375,12596.923828125,12316.9921875,12015.52734375,11735.595703125,11520.263671875,11326.46484375,10895.80078125,10745.068359375,11369.53125,-235.2332305908203,-18.869144439697266,-15.407328605651855,61.77317810058594,-5.477348327636719,29.447378158569336,-0.5582584738731384,10.262467384338379,-9.73954963684082,-2.0871849060058594,-1.8547409772872925,0.19140373170375824,hihat
962.0,5278.903801543048,5216.853403141086,5391.106004063709,5034.656116617431,4635.644740028836,4188.90004885735,3571.2635269390194,3220.108353672353,3004.1851791726494,2816.997522760221,2910.686687655038,2887.8308778008004,2754.9582428957297,2997.7784009130964,3035.2848801825276,2960.369981846291,3164.8616554205328,3597.3325569107824,8828.61328125,8979.345703125,9087.01171875,8828.61328125,8397.94921875,8161.083984375,7428.955078125,6976.7578125,6804.4921875,6136.962890625,6093.896484375,5297.16796875,5189.501953125,7041.357421875,7084.423828125,6567.626953125,7062.890625,8376.416015625,-159.58416748046875,122.22048950195312,-37.889400482177734,26.022247314453125,-14.258333206176758,11.193263053894043,-14.955642700195312,-1.6021112203598022,0.5242987275123596,-10.002911567687988,-5.422336101531982,-1.8770222663879395,hihat
1660.0,5983.958639339617,6211.375150688878,6326.857367423769,6279.660838395323,6086.392413680718,5715.782022137685,5099.075253752681,4747.306954586127,4533.876679911449,4515.043105989008,4431.471388386919,4272.05623626383,4087.695746452816,4036.726534675495,3864.3569733777767,3869.134056980578,4021.340500189286,4449.748159860303,9173.14453125,9237.744140625,9323.876953125,9345.41015625,9345.41015625,8914.74609375,8441.015625,8096.484375,8139.55078125,8118.017578125,7881.15234375,7795.01953125,7773.486328125,7558.154296875,7428.955078125,7385.888671875,7687.353515625,8720.947265625,-186.2277069091797,65.3465576171875,-75.21441650390625,25.589622497558594,-37.439300537109375,-8.078697204589844,-27.473838806152344,0.2694859206676483,-5.813527584075928,-17.20060157775879,-13.231274604797363,-1.0771127939224243,hihat
1058.0,4657.017167044664,4554.648136715473,4596.571231483818,4761.253330563248,4782.49615853906,4644.734273301345,4325.254955865741,4244.289758156719,3981.7979897520745,4015.11830621916,3832.0425527678126,3753.8031349065245,3669.108965060314,3896.4443720383733,3827.447609995459,3459.125820281769,3012.0084553598153,3141.4105941860134,8720.947265625,8225.68359375,8268.75,8441.015625,8462.548828125,8354.8828125,8096.484375,8139.55078125,7816.552734375,7622.75390625,7364.35546875,7321.2890625,7321.2890625,7472.021484375,7450.48828125,6912.158203125,6287.6953125,7342.822265625,-221.14845528179217,98.6477171446266,-63.84244760495168,24.169683051005247,-23.35242161906722,2.962119754510918,-26.444581204662725,-11.14844625335849,-12.682475590643438,-4.60899961935988,-9.65827446312897,-1.0437824874661605,hihat
843.0,2823.7451816388743,2259.702619002962,2588.453215238333,2955.385838171589,3211.277984280375,3349.430129996308,3293.7956084808293,3338.5105481128785,3237.053180007434,3096.0938012730635,3124.5669415392686,3099.4022525619,3264.5164951489273,3176.778468487958,3116.2589308284905,3272.70425365161,3350.628538726468,3426.444989316119,4801.904296875,4263.57421875,5038.76953125,5835.498046875,5857.03125,5620.166015625,5555.56640625,5577.099609375,5340.234375,5124.90234375,5081.8359375,5017.236328125,5361.767578125,4866.50390625,4823.4375,5211.03515625,5813.96484375,6589.16015625,-210.69442465302538,135.81178388554693,-71.44068932193062,18.678240256033163,0.7673460392566841,10.394196512841484,-9.70635083170756,-5.113863607028059,-4.669045978441634,0.15403487991699746,-4.161113913569598,-0.43604745932148176,hihat
1469.0,7439.186517682127,7075.500254326919,7035.39937338382,7104.92069273591,6962.797047738278,6684.659669935803,6050.865528657118,5458.1791930741365,5466.143982124879,5205.706455088824,5179.442301898326,5374.89084526489,5419.22407264635,5112.1826410549675,4985.564042092161,5202.7556130553185,5610.830792179233,5876.355880149211,11993.994140625,11563.330078125,11498.73046875,11563.330078125,11563.330078125,11455.6640625,11154.19921875,10594.3359375,10637.40234375,10551.26953125,10637.40234375,11003.466796875,10960.400390625,10831.201171875,10594.3359375,10766.6015625,11218.798828125,11434.130859375,-177.57435607910156,55.539955139160156,-26.411802291870117,30.27443504333496,-15.111312866210938,23.67392349243164,-23.915908813476562,-0.24431726336479187,-5.688361644744873,0.29202839732170105,-12.762434005737305,-16.060924530029297,hihat
1679.0,9713.718477671791,6252.107412295203,6596.487782777077,6959.335466255177,7019.7076451674975,6830.741876287461,6324.968891900758,5803.7188786764455,5902.878004530345,6223.124064317711,6246.425473822239,6045.204455119804,6072.367905249481,6388.757338922664,6474.202136772216,6604.180038208993,6259.304563636122,5951.84371501277,18712.353515625,11175.732421875,11434.130859375,11821.728515625,11950.927734375,11692.529296875,11434.130859375,11304.931640625,11735.595703125,12252.392578125,12381.591796875,12704.58984375,13092.1875,13824.31640625,13006.0546875,12984.521484375,13006.0546875,12812.255859375,-167.18858337402344,60.32896041870117,-11.767369270324707,12.350299835205078,-18.263219833374023,19.803142547607422,-8.336437225341797,7.645517826080322,-0.5307261347770691,-6.52202844619751,-3.29417085647583,-5.0073089599609375,hihat
1488.0,6342.305395763313,6853.644179963887,7041.075975582369,6963.830515775468,6767.075753102512,6481.437508848185,6115.2454628497235,5877.511953911632,5766.686248890291,5917.243660649832,5702.789070457361,6011.035424209924,6035.237093620903,5732.588858044651,5913.04888330263,5675.680405400397,5672.1880861823065,5803.721996020688,11261.865234375,11326.46484375,11670.99609375,11929.39453125,11929.39453125,11649.462890625,11498.73046875,11261.865234375,11326.46484375,11886.328125,11670.99609375,12316.9921875,12123.193359375,11391.064453125,11692.529296875,11627.9296875,11627.9296875,12381.591796875,-151.8052978515625,60.76665496826172,-17.170690536499023,19.529144287109375,-15.25338363647461,21.201316833496094,-12.50798511505127,3.2830655574798584,-2.4873554706573486,-3.629438638687134,-1.0138816833496094,-4.974565505981445,hihat
2564.0,7053.988726441842,7048.245508588936,7227.114057696179,7485.385273175992,7556.580440969594,7353.876039471046,7183.892798549096,6767.963508514045,6634.407834325762,6076.654260561413,5778.186026674339,5730.815792590189,6614.027374597851,6821.83082695955,6397.43894308416,6004.094829824392,5714.126450558295,5993.2854339989535,11606.396484375,11735.595703125,11950.927734375,11950.927734375,11800.1953125,11714.0625,11541.796875,11089.599609375,11025.0,10637.40234375,10486.669921875,10465.13671875,11025.0,11240.33203125,10788.134765625,10615.869140625,10465.13671875,10723.53515625,-124.48892974853516,39.08731460571289,-48.76139831542969,21.50324249267578,-39.55616760253906,21.78530502319336,-26.716135025024414,6.401339530944824,-10.362974166870117,-1.8022791147232056,-7.27765417098999,-5.372886657714844,hihat
